,star_score,reple,date
99,1,소희 연기 형편 없었고 제발 소희가 빨리 감염돼서 프레임 아웃을 바랐다. 그 아역 왜 썼는지 모르겠다. 노래가 처량하게 들리지도 않았고 초반부터 거슬리던 말투 표정 발음.. 연출도 형편없었고 초반 마동석이 하드캐리. 이후 폭망. ,2016-07-22 02:52:00
100,1,"박평식 돈받음?  다크나이트 평점 내릴때도 봤는데 정말 화남 영화도 억지감동과 스토리 아역배우,소희 연기 정말 구역질난다",2016-07-20 10:42:00
101,1,평점보니 딱 알겠네... 언플만 열라 열심히하고 까보니 개발암 덩어리? 발연기와 발암 꼬맹이는 극의 집중을 방해한다는거 모르나?? 결국엔 이 영화도 배우빨 영화였군...,2016-07-20 12:05:00
102,1,9500이면 아프리카 많은 어린이들을 살릴 수 있습니다!,2016-07-21 20:48:00
103,7,너무 허무해서 혹시모를까 영화 화면이 꺼질때 까지 앉아보았다...,2016-07-20 09:13:00
104,1,조기종영행 다시는 평식이 형 평점에 속지 않으리,2016-07-20 07:22:00
105,1,하....새로운시도는좋았다만 이건 뭐.. 10 no 잼,2016-07-20 10:34:00
106,4,좀비가 너무 코믹행연기가 너무 어색행연출이 너무 단순행영화는 너무 부산행,2016-07-20 09:16:00
107,1,일단 재미가없다. 개연성도없다. 연기를못하는 배우떄문에 몰입도도 떨어진다.,2016-07-20 10:35:00
108,1,별로... 억지스러움 모두 다...,2016-07-22 02:46:00
109,1,ㅇㅅㅇ 기대보다 훨씬 많이 별로네요 재미없네요,2016-07-20 11:37:00
110,1,"KTX 객차간 문은 옆으로 슬쩍밀면 열리는데, 무슨 엄청 어렵게 여는 문처럼 나옴.. 좀비 수십명이 달려들어 실수로 쳐도 열리겠던데ㅋㅋㅋ",2016-07-21 11:37:00
111,1,하 ... 한국영화 명량 이후로 안보겟다고 다짐혹시나 해서 봣더니  역시나다   걍니들가서  봐라 나만 당하긴 억울하다,2016-07-20 11:04:00
112,9,한국형 좀비물 가능성 있네요. 좀비 좋아하시는 분들께추천합니다.,2016-07-20 11:59:00
113,1,너무 영화가 부산스러워서 부산행일까 했음,2016-07-20 13:34:00
114,1," 영화 스케일 대박이란 얘기를 듣고 가서 그런지 기대가 컸는데..좀비 바이러스가 어떻게 유출되었는지, 개연성도 없고어거지로 마무리한거같음 그리고인간이란게 얼마나 사악한지가 아니라 한국인이 얼마나 개악종인지를 보여준거 같아서 영화 보는내내 불편했음 ",2016-07-20 23:13:00
115,1,돈과 시간이 매우 아깝다,2016-07-20 12:32:00
116,1,평점은 서서히 올라갈 것이다. 큰 정치적 노선과 무난한 연출이 있으니 하지만 우리는 기억해야한다.연상호가 자본과 손잡았을때의 그 안일함을...그건 대놓고 신파보다ㅈ더 역겹다,2016-07-20 07:58:00
117,1,3류 영화_ 좀비 영화의 수치네좀비 매니아로써 감독과 출연진들은 관람객들에게 다시한번 고개숙여 사과하라 - 워킹데드 보는게 더 실감나더라 - 어디 좀비 영화를 넘보냐~~,2016-07-20 10:40:00
118,1,꼬마때문에 1점준다 애새끼가 존나 시끄러움 박애주의자 새끼,2016-07-20 22:33:00
119,1,권혁수 닮은 할매가 이 영화 최고 악역이다. 감염자 무리들 뚫고 안전구역에 들어왔으면 격리조치 취하는건 당연한거지 지 언니 못들어왔다고 문 열어 재껴서 무고한 생존자들 죽인 살인자지 그게 ㅋㅋ 그걸 사이다니 뭐니 하고있으니 어휴 ,2016-07-21 10:23:00
120,1,돈 주고 보면 정말 아까운 영화. 이게 재밌다고 느끼면.. 좀비를 모르는 사람. 최소 10년전 나온 새벽의 저주 보면 너무 재미있어서 눈물 흘릴 듯.,2016-07-20 12:18:00
121,1,핵노잼 보는내내답답 몇몇발연기 엔딩...하....,2016-07-21 19:22:00
122,1,그래서 왜 좀비가 된거고 부산만 멀쩡한건데? 배경스토리부족..,2016-07-22 02:28:00
123,1,ㅋ최악 흔한 여자아이 눈물로 감성팔이하고 부성애 모성애 연인들의 사랑 등등 아주 신파의 절정을 보여주네 공유뿐 아니라 배우들 연기는 극혐 몰입이 안됨.. 좀비들이  끌려가는씬에서는 고무보트에 타고 있는거 다보임  엉성한 cg.... ,2016-07-20 11:11:00
124,5,여러 영화 짬뽕한거 같네요,2016-07-20 13:14:00
125,1,영화볼 돈으로 밥이나한끼 먹을껄...,2016-07-20 10:53:00
126,1,"별점5점 월드워Z  박평식 | 2013.06.17 떼거리 액션은 장관, 안일한 엔딩엔 허탈부산행 별점7점  박평식  2016.7.15쾌속의 감흥에서  신파의 터널로결론은 월드워Z보다  부산행이 더 잼있단얘기지?",2016-07-20 00:49:00
127,1,무엇을 표현하고자 하는지 모르겠음.감동도 없고 여운도 없고 뭔가 남는게 하나도 없음.아 남는게 있다면..공유의 비현실적인 잘생김과 마동석의 하드케리와 정유미의 미모?극장서 영화 끝난후 모든관객들이 잠적...&#34;헐&#34; 이라는 말과 함께 퇴장함ㅋ ,2016-07-21 21:26:00
128,1,잼없음 재미없음 난 서율행,2016-07-20 21:40:00
129,1,시도는 좋았으나 앞으로 더욱 발전할수있는 좀비물이 나올꺼라고 기대한다,2016-07-20 11:41:00
130,1,승질나서 막판에 좀비될꺼같은영화,2016-07-21 01:29:00
131,8,심은경 특별출연인데 강한 인상남기고감 소희는 나만 어색한가???? 악역이 연기를 너무 잘해서 보는내내 화나는 영화,2016-07-21 02:56:00
132,1,오늘개봉했다고 댓글이 너무 알바스럽네요                         판단은 당신의  몫,2016-07-20 01:26:00
133,1,살다살다 이딴 20년전 좀비영화 보다 못한 망작을 재난 블록버스터로 포장하고 ㅉㅉㅉ  영화 개떡같이 만들고 평점알바 언플 적당히 하면 떼돈번다는  국민을 개돼지로 보는 이런 잡영화는 망해야 한다 ㅉㅉㅉ 가족끼리 가서 돈 시간 기분까지 잡치고ㅉㅉㅉ ,2016-07-20 01:42:00
134,2,억지신파 전형적 옛날한국영화,2016-07-20 23:59:00
135,1,월드워z 많이 보고 배낀듯 마동석팔에 테이프감고 좀비 격투씬좀비들이 탑쌓고 쫒아오는씬초반에 볼거리는 많았으나 전반적으로 스토리가 끈어지는 느낌에 중반쯤 지루함을 떨칠수가 없었으며 막판의그 허무함...또 억지 감성유도...돈 아깝다.내2만원 ,2016-07-20 13:10:00
136,1,이렇게 한바탕 난리굿 떠는 소동영화들 다신 보지 말아야지~,2016-07-20 07:13:00
137,1,장난하냐ㅋ 신파찍고 자빠졌네,2016-07-20 08:17:00
138,1,감정팔이는 그만 화끈한 좀비영화좀 만들어봐라..,2016-07-20 22:04:00
139,1,"괜히 봤다..  시작과 끝이 없는 영화, 즉 내용없는 영화다.. 마동석 제외하고는 연기들도 어색하고, 답없는 상업성만 강조한 삼류영화. 진짜 보지마세요 ㅋㅋ 인천상륙작전이 걱정되네요..",2016-07-20 23:11:00
140,1,억지 스토리와 부자연스러운 cg 그리고 소희는 연기하지말자외국 좀비영화들 1%를 따라가지 못함,2016-07-20 10:33:00
141,1,공유가 너~~무 답답함 그냥 영화 내내 멍때림좀비더미 효과는 월드워 Z 브랫핏나오는거 그대로 배끼고 주인공만 좀비변신 늦게함. 글고 펀드맨이 군인이랑 무슨인맥? 아색기는 너무 말 또박또박발음하고 말 더럽게 안들음 결론: 마동석 가끔 피식개그말고 노잼 ,2016-07-20 14:25:00
142,1,스토리가 없다..보면 후회합니다.,2016-07-20 12:45:00
143,1,노잼..입니다. 낚이지 마세요,2016-07-21 22:55:00
144,1,진심한개도주기아깝다 진심으로하는얘기인데 영화 집중은되고 재미? 솔직히 조금있는데 까놓고말해서 속답답하다 영화보는 내내 답답해서미칠지경이다 감독 영화만드느라수고했는데 너무관객들을 답답하게만들었다 상황이한두가지도아니고 곡성이후찝찝한영화다진심 ,2016-07-21 01:02:00
145,1,마동석형님때문에 재미는있으나 애기가 답답하고 짜증남 평소에는 문도 잘 닫더니 문 안닫아서 물리고 물리고 떠 물리고 어쩔땐 깨지는 문 어쩔땐 안깨지는 문,2016-07-24 15:57:00
146,1,아역배우. 자매로 보이는 할머니 두명. 그리고 소희. 그외 대부분 배우들의 발연기는 내가 좀비가 되는 것 만큼이나 무섭고 어이가 없었다. 특히 좀비 분장할 돈 좀 아껴서 동생 할머니 분장 좀 신경쓰지. SNL 속 할머닌줄 알았네. ,2016-07-21 03:40:00
147,1,이용철이가 8점 준 영화는 재미없다.안보러 가야 된다.,2016-07-20 10:19:00
148,1,영화관에서 나가고 싶었음,2016-07-21 19:02:00
149,1,왜 좀비가 되었는지 제발 얘기해주면 안되나..치료법이나 해결하는 것이나와야지 그냥 하.. 기대한 내가잘못이지 내용좀 만들어서 영화좀 만들어요 제발..,2016-07-23 07:32:00
150,1,우리나라 평론가들이 알바수준인이유가 뭘까? 정치적인넘들이기때문이지. -연에 얽혀 치맥 몇잔 얻어먹어가며 자기 사람인냥 챙기는 꼬라지.,2016-07-20 01:43:00
151,1,영화속에서 환승이 안되서 답답했음,2016-07-20 01:35:00
